Precipitation (mm),Flow (m^3/s)
99.3,36.81184
127.8,30.865312
136.7,29.166304
65.5,12.74256
262.6,53.235583999999996
257.0,21.2376
105.9,11.32672
86.4,27.60888
144.8,68.243488
59.4,27.1274944
200.4,46.156384
87.6,28.3168
139.7,65.694976
67.3,15.149488
90.2,30.015808
73.4,17.2449312
104.1,24.8055168
50.0,26.1364064
176.5,41.342528
92.7,14.6397856
96.5,37.378175999999996
134.1,25.5700704
139.2,82.96822399999999
214.1,99.675136
114.3,41.342528
64.8,10.3922656
93.0,30.298976
142.0,76.45536
158.8,53.80192
120.1,96.560288
134.6,50.403904
74.9,56.067264
149.9,98.825632
84.6,28.3168
149.9,78.437536
79.5,139.318656
110.7,62.29696
65.5,33.413824
167.4,37.944511999999996
124.5,33.696992
90.2,34.263328
195.1,98.25929599999999
112.8,141.584
323.3,382.2768
174.5,38.794016
116.3,86.083072
197.1,104.488992
