Obs (m above NAVD88),Precipitation (mm)
0.618744,16.5
0.7406640000000001,13.2
0.8260080000000001,69.9
0.6339840000000001,10.2
0.847344,16.8
1.0576560000000002,1.3
0.8290560000000001,66.3
0.8717280000000001,96.5
0.850392,38.1
0.9174479999999999,139.2
0.725424,0.0
0.8930640000000001,35.6
1.075944,5.8
0.710184,93.0
0.9906,124.5
1.1490960000000001,19.1
0.954024,120.1
0.96012,1.3
1.0454640000000002,16.3
1.185672,149.9
0.890016,25.9
3.206496,149.9
0.984504,17.3
1.0363200000000001,36.8
0.8229600000000001,65.5
0.7924800000000001,36.6
0.8290560000000001,1.3
0.801624,24.1
1.088136,195.1
1.0668,25.1
1.139952,323.3
1.106424,15.2
1.008888,8.6
1.5422879999999999,3.8
